ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
559,LIBERAL-SOZIALE PARTEI,(LSP),25.02.1986,1986,"559 ""LIBERAL-SOZIALE PARTEI"" (LSP) 25.02.1986"
560,LIBERTÄRE ASSOZIATION ÖSTERREICH-(LAÖ),,16.10.1985,1985,"560 ""LIBERTÄRE ASSOZIATION ÖSTERREICH-(LAÖ)"" 16.10.1985"
561,Libertäres Plenum Linz,,27.10.1988,1988,"561 ""Libertäres Plenum Linz"" 27.10.1988"
562,Liga Freies Europa,(Kurzbezeichnung LFE),10.03.2014,2014,"562 ""Liga Freies Europa"" (Kurzbezeichnung LFE) 10.03.2014"
563,Linke Alternative Liste,(LAL),12.06.1986,1986,"563 ""Linke Alternative Liste"" (LAL) 12.06.1986"
564,LINZER BÜRGERRAT,"Kurzform ""LBR""",02.01.2012,2012,"564 ""LINZER BÜRGERRAT"", Kurzform ""LBR"" 02.01.2012"
565,Liste Baum,,29.09.1992,1992,"565 ""Liste Baum"" 29.09.1992"
566,Liste Bürger & Umwelt (LBU),,05.07.1990,1990,"566 ""Liste Bürger & Umwelt (LBU)"" 05.07.1990"
567,Liste der EU-Opposition Gabriele Wladyka,"abgekürzt ""LEO""",18.01.1994,1994,"567 ""Liste der EU-Opposition Gabriele Wladyka"", abgekürzt ""LEO"" 18.01.1994"
568,"Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit",,06.05.2004,2004,"568 ""Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit"" 06.05.2004"
569,Liste gegen Ausländer,,11.12.1981,1981,"569 ""Liste gegen Ausländer"" 11.12.1981"
570,Liste Hirschmann,,10.06.2005,2005,"570 ""Liste Hirschmann"" 10.06.2005"
571,LISTE KRITISCHER STUDENTEN,,10.09.1984,1984,"571 ""LISTE KRITISCHER STUDENTEN"" 10.09.1984"
572,Liste Maria Lanzendorf,"kurz ""LiMaLa""",28.06.1990,1990,"572 ""Liste Maria Lanzendorf"", kurz ""LiMaLa"" 28.06.1990"
573,LISTE ÖSTERREICH,,18.12.2012,2012,"573 ""LISTE ÖSTERREICH"" 18.12.2012"
574,Liste Parndorf (LIPA),,28.12.1995,1995,"574 ""Liste Parndorf (LIPA)"" 28.12.1995"
