Jahr,Organisation,Betrag
2015,Schülerunion Österr.,"81672,8"
2005,Sozialistische Jugend Österr.,"406968,1"
2006,Sozialistische Jugend Österr.,"406968,1"
2007,Sozialistische Jugend Österr.,"406968,1"
2008,Sozialistische Jugend Österr.,"406968,1"
2009,Sozialistische Jugend Österr.,"365097,1"
2010,Sozialistische Jugend Österr.,"365097,1"
2011,Sozialistische Jugend Österr.,"365097,1"
2012,Sozialistische Jugend Österr.,"365097,1"
2013,Sozialistische Jugend Österr.,"365097,1"
2014,Sozialistische Jugend Österr.,"365097,1"
2015,Sozialistische Jugend Österr.,"365097,1"
2005,Team 2.0 - Junges Team Stronach,0
2006,Team 2.0 - Junges Team Stronach,0
2007,Team 2.0 - Junges Team Stronach,0
2008,Team 2.0 - Junges Team Stronach,0
2009,Team 2.0 - Junges Team Stronach,0
2010,Team 2.0 - Junges Team Stronach,0
2011,Team 2.0 - Junges Team Stronach,0
2012,Team 2.0 - Junges Team Stronach,0
2013,Team 2.0 - Junges Team Stronach,0
2014,Team 2.0 - Junges Team Stronach,"109009,3"
2015,Team 2.0 - Junges Team Stronach,"118009,3"
2005,Verein Jugend für eine geeinte Welt,"29069,2"
2006,Verein Jugend für eine geeinte Welt,"29069,2"
2007,Verein Jugend für eine geeinte Welt,"29069,2"
2008,Verein Jugend für eine geeinte Welt,"29069,2"
2009,Verein Jugend für eine geeinte Welt,"38069,2"
2010,Verein Jugend für eine geeinte Welt,"38069,2"
2011,Verein Jugend für eine geeinte Welt,"38069,2"
2012,Verein Jugend für eine geeinte Welt,"38069,2"
2013,Verein Jugend für eine geeinte Welt,"38069,2"
2014,Verein Jugend für eine geeinte Welt,"38069,2"
2015,Verein Jugend für eine geeinte Welt,"38069,2"
