Jahr;Organisation;Betrag
2010;Österr. Kinderwelt;81672.80
2011;Österr. Kinderwelt;81672.80
2012;Österr. Kinderwelt;81672.80
2013;Österr. Kinderwelt;81672.80
2014;Österr. Kinderwelt;81672.8
2015;Österr. Kinderwelt;81672.80
2005;Österr. Kolpingwerk;72672.80
2006;Österr. Kolpingwerk;72672.80
2007;Österr. Kolpingwerk;72672.80
2008;Österr. Kolpingwerk;72672.80
2009;Österr. Kolpingwerk;81672.80
2010;Österr. Kolpingwerk;81672.80
2011;Österr. Kolpingwerk;81672.80
2012;Österr. Kolpingwerk;81672.80
2013;Österr. Kolpingwerk;81672.80
2014;Österr. Kolpingwerk;81672.8
2015;Österr. Kolpingwerk;81672.80
2005;Österr. Landjugend;290691.40
2006;Österr. Landjugend;290691.40
2007;Österr. Landjugend;290691.40
2008;Österr. Landjugend;290691.40
2009;Österr. Landjugend;299691.40
2010;Österr. Landjugend;299691.40
2011;Österr. Landjugend;299691.40
2012;Österr. Landjugend;299690.70
2013;Österr. Landjugend;299691.40
2014;Österr. Landjugend;299691.4
2015;Österr. Landjugend;299691.40
2005;Österr. Naturschutzjugend;28834.60
2006;Österr. Naturschutzjugend;19034.60
2007;Österr. Naturschutzjugend;14534.60
2008;Österr. Naturschutzjugend;29034.60
2009;Österr. Naturschutzjugend;38069.20
2010;Österr. Naturschutzjugend;38069.20
2011;Österr. Naturschutzjugend;38069.20
2012;Österr. Naturschutzjugend;38069.20
2013;Österr. Naturschutzjugend;38069.20
2014;Österr. Naturschutzjugend;38069.2
2015;Österr. Naturschutzjugend;38069.20
2005;Österr. Pfadfinderbund;29069.20
2006;Österr. Pfadfinderbund;29069.20
2007;Österr. Pfadfinderbund;29034.60
2008;Österr. Pfadfinderbund;29034.60
2009;Österr. Pfadfinderbund;38034.60
2010;Österr. Pfadfinderbund;38064.60
2011;Österr. Pfadfinderbund;38064.60
2012;Österr. Pfadfinderbund;38069.20
2013;Österr. Pfadfinderbund;37364.60
2014;Österr. Pfadfinderbund;38064.6
2015;Österr. Pfadfinderbund;38034.60
